거래ID,날짜,카테고리,가맹점,결제수단,금액,메모
TX100740,2025-10-02,식비,한솥도시락,체크카드,,
TX100569,2025-08-03,식비,한솥도시락,체크카드,1000.0,
TX100847,2025-11-14,카페/간식,컴포즈커피,체크카드,4500.0,
TX100025,2025-01-07,교통,카카오T,신용카드,1900.0,
TX100362,2025-05-16,교통,SRT,신용카드,2800.0,
TX100172,2025-03-07,쇼핑,올리브영,신용카드,36700.0,
TX100367,2025-05-18,쇼핑,네이버페이,간편결제,32300.0,
TX100576,2025-08-04,구독서비스,멜론,신용카드,10800.0,
TX100357,2025-05-14,교통,주차장,신용카드,3500.0,
TX100169,2025-03-06,교통,주유소(SK),신용카드,5900.0,
TX100621,2025-08-22,식비,편의점(GS25),신용카드,13500.0,
TX100255,2025-04-07,교통,주유소(SK),신용카드,2700.0,
TX100714,2025-09-25,카페/간식,메가커피,신용카드,3800.0,
TX100930,2025-12-14,식비,본죽,신용카드,10400.0,
TX100927,2025-12-13,식비,동네식당,체크카드,12200.0,
TX100703,2025-09-21,교통,카카오T,체크카드,4000.0,
TX100242,2025-04-02,식비,한솥도시락,신용카드,18600.0,
TX100519,2025-07-16,카페/간식,메가커피,신용카드,6200.0,
TX100018,2025-01-05,구독서비스,멜론,체크카드,16200.0,
TX100741,2025-10-03,식비,쿠팡이츠,신용카드,7200.0,
TX100111,2025-02-10,카페/간식,이디야커피,신용카드,1000.0,
TX100504,2025-07-09,문화/여가,여행사,신용카드,12800.0,
TX100865,2025-11-19,문화/여가,롯데시네마,신용카드,27400.0,
TX100026,2025-01-08,식비,한솥도시락,신용카드,8000.0,
TX100300,2025-04-24,쇼핑,네이버페이,신용카드,,
TX100951,2025-12-23,교통,주유소(SK),간편결제,1000.0,
TX100148,2025-02-23,카페/간식,스타벅스,체크카드,13400.0,
TX100223,2025-03-25,쇼핑,네이버페이,신용카드,38400.0,
TX100385,2025-05-25,식비,맘스터치,체크카드,9800.0,
TX100319,2025-05-02,의료/건강,헬스장,간편결제,12000.0,
TX100165,2025-03-02,쇼핑,다이소,신용카드,25700.0,
TX100054,2025-01-17,쇼핑,지마켓,신용카드,20200.0,
TX100579,2025-08-05,쇼핑,네이버페이,간편결제,27900.0,
TX100949,2025-12-22,문화/여가,호텔예약,신용카드,40600.0,
TX100412,2025-06-07,식비,배달의민족,체크카드,21900.0,
TX100154,2025-02-27,통신,KT,간편결제,71900.0,
TX100297,2025-04-23,교통,카카오T,신용카드,1200.0,
TX100759,2025-10-09,교통,카카오T,신용카드,7100.0,
TX100035,2025-01-12,식비,한솥도시락,간편결제,8700.0,
TX100126,2025-02-15,식비,편의점(CU),체크카드,15900.0,
TX100095,2025-02-03,쇼핑,지마켓,간편결제,74800.0,
TX100947,2025-12-22,카페/간식,파리바게뜨,신용카드,2900.0,
TX100404,2025-06-01,교통,카카오T,간편결제,2500.0,
TX100099,2025-02-05,식비,편의점(GS25),체크카드,8700.0,
TX100914,2025-12-07,문화/여가,넷플릭스 결제,간편결제,51200.0,
TX100821,2025-11-03,카페/간식,이디야커피,신용카드,7700.0,
TX100884,2025-11-28,식비,쿠팡이츠,신용카드,9300.0,
TX100886,2025-11-28,구독서비스,왓챠,체크카드,14100.0,
TX100240,2025-04-01,교통,주차장,신용카드,5400.0,
TX100780,2025-10-18,통신,KT,체크카드,57900.0,
TX100141,2025-02-20,구독서비스,쿠팡와우,신용카드,11700.0,
TX100171,2025-03-07,카페/간식,투썸플레이스,체크카드,10100.0,
TX100061,2025-01-20,식비,편의점(CU),간편결제,7700.0,
TX100758,2025-10-09,카페/간식,컴포즈커피,체크카드,5500.0,
TX100913,2025-12-07,쇼핑,이마트,신용카드,52500.0,
TX100524,2025-07-18,식비,배달의민족,신용카드,11700.0,
TX100492,2025-07-04,교통,서울교통공사,체크카드,5800.0,
TX100389,2025-05-27,식비,동네식당,체크카드,8900.0,
TX100624,2025-08-24,식비,본죽,신용카드,20500.0,
TX100571,2025-08-03,쇼핑,무신사,체크카드,11300.0,
TX100160,2025-03-01,식비,동네식당,신용카드,15400.0,
TX100149,2025-02-23,문화/여가,넷플릭스 결제,간편결제,20400.0,
TX100206,2025-03-19,식비,한솥도시락,신용카드,21300.0,
TX100701,2025-09-21,식비,쿠팡이츠,체크카드,5500.0,
TX100694,2025-09-18,카페/간식,메가커피,신용카드,8500.0,
TX100961,2025-12-27,교통,SRT,체크카드,2200.0,
TX100918,2025-12-09,카페/간식,투썸플레이스,신용카드,14100.0,
TX100356,2025-05-14,식비,교촌치킨,신용카드,9200.0,
TX100578,2025-08-05,교통,서울교통공사,신용카드,2500.0,
TX100657,2025-09-03,경조사/기타,기부,체크카드,106100.0,
TX100109,2025-02-09,식비,요기요,간편결제,16900.0,
TX100677,2025-09-10,교통,서울교통공사,신용카드,4300.0,
TX100617,2025-08-20,식비,맘스터치,신용카드,13600.0,
TX100256,2025-04-07,쇼핑,다이소,체크카드,4000.0,
TX100612,2025-08-18,카페/간식,메가커피,신용카드,10300.0,
TX100028,2025-01-09,교통,SRT,간편결제,2700.0,
TX100585,2025-08-08,식비,요기요,신용카드,7000.0,
TX100047,2025-01-15,교통,주차장,신용카드,1000.0,
TX100299,2025-04-24,교통,카카오T,신용카드,,
TX100946,2025-12-22,식비,편의점(CU),체크카드,10800.0,
TX100722,2025-09-27,교통,서울교통공사,신용카드,5100.0,
TX100271,2025-04-12,쇼핑,무신사,체크카드,16000.0,
TX100786,2025-10-21,교통,카카오T,신용카드,2400.0,
TX100376,2025-05-21,통신,SKT,간편결제,67600.0,
TX100627,2025-08-25,식비,요기요,신용카드,19000.0,
TX100889,2025-11-30,식비,편의점(CU),신용카드,11200.0,
TX100708,2025-09-23,경조사/기타,벌금/과태료,간편결제,1000.0,
TX100335,2025-05-07,식비,배달의민족,간편결제,14700.0,
TX100669,2025-09-08,식비,김밥천국,신용카드,14400.0,
TX100431,2025-06-13,교통,주차장,신용카드,4600.0,
TX100064,2025-01-21,경조사/기타,축의금,간편결제,94300.0,
TX100442,2025-06-17,교통,SRT,신용카드,3800.0,
TX100963,2025-12-28,카페/간식,컴포즈커피,신용카드,6300.0,
TX100867,2025-11-20,교통,주유소(SK),체크카드,4100.0,
TX100485,2025-07-02,카페/간식,베스킨라빈스,신용카드,7500.0,
TX100100,2025-02-05,카페/간식,컴포즈커피,간편결제,2400.0,
TX100912,2025-12-07,카페/간식,메가커피,신용카드,7200.0,
TX100682,2025-09-12,식비,교촌치킨,신용카드,5800.0,
TX100895,2025-12-01,쇼핑,네이버페이,체크카드,89100.0,
TX100645,2025-08-31,카페/간식,투썸플레이스,신용카드,7600.0,
TX100391,2025-05-28,카페/간식,메가커피,체크카드,6300.0,
TX100816,2025-11-01,카페/간식,스타벅스,신용카드,6800.0,
